"","1","(Intercept)","I(prbpris^2)","I(sqrt(density))","I(sqrt(wser))","wtrd","I(wtrd^2)","area","area:polpc","area:density"
"30",30,1,1,1,1,1,1,1,1,1
"40",40,1,1,1,1,1,1,1,1,1
"50",50,1,1,1,1,1,1,1,1,1
"60",60,1,1,1,1,1,1,1,1,1
"70",70,1,1,1,1,1,1,1,1,1
"80",80,1,1,1,1,1,1,1,1,1
"90",90,1,1,1,1,1,1,1,1,1
"100",100,1,1,1,1,1,1,1,1,1
"110",110,1,1,1,1,1,1,1,1,1
"120",120,1,1,1,1,1,1,1,1,1
"130",130,1,1,1,1,1,1,1,1,1
